Mode,NLC,ASC,Station,Coverage,Source,Mon-Thu Entries,Fri Entries,Sat Entries,Sun Entries,Mon-Thu Exits,Fri Exits,Sat Exits,Sun Exits,En/Ex
LU,500,ACTu,Acton Town,Station entry / exit,Gateline,6851,6899,5657,3961,6886,6691,5559,4174,2902697
LU,502,ALDu,Aldgate,Station entry / exit,Gateline,8038,6690,5035,3585,9655,8611,7453,4595,3525128
LU,503,ALEu,Aldgate East,Station entry / exit,Gateline,12751,13270,13617,9980,11984,12882,12951,8261,5611130
LU,505,ALPu,Alperton,Station entry / exit,Gateline,3109,3121,2543,1654,3347,3325,2537,1732,1345253
LU,506,AMEu,Amersham,Station entry / exit,Gateline,2384,2249,1745,1089,2315,2175,1545,1063,946577
LU,507,ANGu,Angel,Station entry / exit,Gateline,16234,17601,14286,9694,17205,19337,15229,9890,7258744
LU,508,ARCu,Archway,Station entry / exit,Gateline,9878,10130,8148,5549,9318,9051,7017,5273,4027456
LU,509,AGRu,Arnos Grove,Station entry / exit,Gateline,4686,4832,4257,3067,4347,4373,3835,2955,1963343
LU,510,ARLu,Arsenal,Station entry / exit,Gateline,2847,3151,2911,2050,2521,2540,2454,2036,1209093
LU,511,BSTu,Baker Street,Station entry / exit,Gateline,26481,26299,20714,14374,26852,27029,21177,14622,11147642
LU,512,BALu,Balham LU,Station entry / exit,Gateline,11980,12553,12223,7520,12598,12105,11728,7755,5356512
LU,513,BNKu,Bank and Monument,Station entry / exit,Gateline,47852,35146,19494,11930,50707,38873,22558,12430,17657529
LU,501,BARu,Barbican,Station entry / exit,Gateline,8778,7849,4749,3030,9377,8407,5183,3168,3467856
LU,514,BKGu,Barking,Station entry / exit,Gateline,22401,22524,17313,11593,22258,22302,16920,11482,9272519
LU,515,BDEu,Barkingside,Station entry / exit,Gateline,1586,1536,1046,671,1665,1568,1068,707,647203
LU,516,BCTu,Barons Court,Station entry / exit,Gateline,7268,6988,5245,3668,7024,6394,4663,3691,2900237
LU,517,BAYu,Bayswater,Station entry / exit,Gateline,3051,3529,4188,3249,2987,3547,4046,2677,1498957
LU,518,BECu,Becontree,Station entry / exit,Gateline,4425,4394,3042,1905,4326,4212,2832,1895,1759768
LU,519,BPKu,Belsize Park,Station entry / exit,Gateline,6465,6449,4499,3351,6332,6014,4253,3272,2609939
LU,787,BERu,Bermondsey,Station entry / exit,Gateline,9737,10097,9102,6027,9503,9533,8795,5956,4176709
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Gateline,14525,15583,14334,10276,13771,14582,13756,9733,6322604
LU,521,BLFu,Blackfriars LU,Station entry / exit,Gateline,12199,10286,8879,6667,11667,9929,7897,6099,4795990
LU,522,BHRu,Blackhorse Road,Station entry / exit,Gateline,12057,12329,10422,6999,11457,11186,9234,6748,4985901
LU,524,BDSu,Bond Street,Station entry / exit,Gateline,35930,34595,36512,21311,36693,35134,36422,20770,15694939
LU,525,BORu,Borough,Station entry / exit,Gateline,4834,5048,4177,2607,4874,4980,4264,2664,2066434
LU,526,BOSu,Boston Manor,Station entry / exit,Gateline,2068,2118,1710,1149,2141,2093,1549,1188,879895
